n_2	P_comp	q(l_x)	eff_comp
0.5	1.123	0.361	0.77
0.5	1.181	0.322	0.778
0.5	1.239	0.283	0.787
0.5	1.278	0.25	0.8
0.5	1.317	0.241	0.809
0.5	1.375	0.228	0.805
0.5	1.375	0.216	0.803
0.5	1.394	0.202	0.792
0.6	1.336	0.394	0.783
0.6	1.375	0.355	0.792
0.6	1.433	0.316	0.809
0.6	1.472	0.283	0.822
0.6	1.51	0.275	0.84
0.6	1.549	0.25	0.836
0.6	1.588	0.161	0.814
0.6	1.627	0.155	0.8
0.7	1.898	0.433	0.787
0.7	1.956	0.4	0.8
0.7	2.014	0.361	0.814
0.7	2.053	0.327	0.831
0.7	2.091	0.319	0.844
0.7	2.13	0.294	0.84
0.7	2.169	0.261	0.822
0.7	2.208	0.2	0.809
0.8	2.363	0.472	0.792
0.8	2.459	0.444	0.818
0.8	2.517	0.416	0.827
0.8	2.556	0.388	0.836
0.8	2.595	0.361	0.844
0.8	2.634	0.333	0.844
0.8	2.672	0.305	0.831
0.8	2.711	0.25	0.818
0.85	2.711	0.499	0.822
0.85	2.808	0.472	0.827
0.85	2.866	0.444	0.84
0.85	2.905	0.416	0.849
0.85	2.924	0.388	0.853
0.85	2.943	0.361	0.836
0.85	2.963	0.333	0.831
0.85	2.982	0.294	0.818
0.9	2.943	0.555	0.818
0.9	3.098	0.513	0.836
0.9	3.195	0.472	0.866
0.9	3.234	0.333	0.818
0.9	3.253	0.361	0.827
0.9	3.273	0.388	0.836
0.9	3.275	0.444	0.871
0.9	3.277	0.416	0.871
0.95	3.253	0.598	0.818
0.95	3.447	0.555	0.849
0.95	3.524	0.527	0.866
0.95	3.621	0.499	0.875
0.95	3.641	0.472	0.849
0.95	3.679	0.411	0.809
0.95	3.679	0.416	0.814
0.95	3.679	0.444	0.827
1	3.524	0.633	0.818
1	3.796	0.583	0.862
1	3.873	0.555	0.88
1	3.931	0.541	0.88
1	3.95	0.527	0.862
1	3.97	0.513	0.836
1	4.009	0.499	0.814
1	4.047	0.477	0.809
1.05	3.679	0.638	0.822
1.05	3.796	0.624	0.827
1.05	3.912	0.61	0.844
1.05	3.989	0.597	0.871
1.05	4.105	0.583	0.888
1.05	4.222	0.569	0.862
1.05	4.26	0.555	0.836
1.05	4.338	0.541	0.827
1.1	3.718	0.644	0.809
1.1	3.834	0.638	0.818
1.1	3.931	0.633	0.853
1.1	4.028	0.63	0.88
1.1	4.183	0.624	0.897
1.1	4.338	0.616	0.871
1.1	4.725	0.608	0.844
1.1	4.841	0.599	0.836
