n_1	P_comp	q(l_v)	eff_comp
0.5	1.123	0.471	0.77
0.5	1.181	0.421	0.778
0.5	1.239	0.37	0.787
0.5	1.278	0.326	0.8
0.5	1.317	0.315	0.809
0.5	1.375	0.302	0.805
0.5	1.375	0.283	0.803
0.5	1.394	0.16	0.792
0.6	1.336	0.515	0.783
0.6	1.375	0.464	0.792
0.6	1.433	0.413	0.809
0.6	1.472	0.37	0.822
0.6	1.51	0.359	0.84
0.6	1.549	0.326	0.836
0.6	1.588	0.21	0.814
0.6	1.627	0.203	0.8
0.7	1.898	0.566	0.787
0.7	1.956	0.522	0.8
0.7	2.014	0.471	0.814
0.7	2.053	0.428	0.831
0.7	2.091	0.417	0.844
0.7	2.13	0.384	0.84
0.7	2.169	0.341	0.822
0.7	2.208	0.261	0.809
0.8	2.363	0.616	0.792
0.8	2.459	0.58	0.818
0.8	2.517	0.544	0.827
0.8	2.556	0.508	0.836
0.8	2.595	0.471	0.844
0.8	2.634	0.435	0.844
0.8	2.672	0.399	0.831
0.8	2.711	0.326	0.818
0.85	2.711	0.653	0.822
0.85	2.808	0.616	0.827
0.85	2.866	0.58	0.84
0.85	2.905	0.544	0.849
0.85	2.924	0.508	0.853
0.85	2.943	0.471	0.836
0.85	2.963	0.435	0.831
0.85	2.982	0.384	0.818
0.9	2.943	0.725	0.818
0.9	3.098	0.671	0.836
0.9	3.195	0.616	0.866
0.9	3.234	0.435	0.818
0.9	3.253	0.471	0.827
0.9	3.273	0.508	0.836
0.9	3.275	0.58	0.871
0.9	3.277	0.544	0.871
0.95	3.253	0.782	0.818
0.95	3.447	0.725	0.849
0.95	3.524	0.689	0.866
0.95	3.621	0.653	0.875
0.95	3.641	0.616	0.849
0.95	3.679	0.537	0.809
0.95	3.679	0.544	0.814
0.95	3.679	0.58	0.827
1	3.524	0.827	0.818
1	3.796	0.761	0.862
1	3.873	0.725	0.88
1	3.931	0.707	0.88
1	3.95	0.689	0.862
1	3.97	0.671	0.836
1	4.009	0.653	0.814
1	4.047	0.624	0.809
1.05	3.679	0.834	0.822
1.05	3.796	0.816	0.827
1.05	3.912	0.798	0.844
1.05	3.989	0.78	0.871
1.05	4.105	0.761	0.888
1.05	4.222	0.743	0.862
1.05	4.26	0.725	0.836
1.05	4.338	0.707	0.827
1.1	3.718	0.841	0.809
1.1	3.834	0.834	0.818
1.1	3.931	0.827	0.853
1.1	4.028	0.823	0.88
1.1	4.183	0.816	0.897
1.1	4.338	0.805	0.871
1.1	4.725	0.794	0.844
1.1	4.841	0.783	0.836
